Attribute,,,TFIDF
colored,1,1,5.298317367
colors,3,3,12.59911523
coma,1,1,5.298317367
combination,1,1,5.298317367
come,7,16,17.68010051
comes,6,7,20.1144433
comfortable,2,2,9.210340372
coming,6,9,18.60655674
commendable,1,1,5.298317367
comment,1,1,5.298317367
common,4,4,15.64809202
community,2,2,9.210340372
companies,2,2,9.210340372
company,15,13,41.00052014
compare,9,17,22.1859362
compared,8,8,25.7510066
comparison,1,1,5.298317367
compass,1,1,5.298317367
compatibility,2,1,10.59663473
compatible,1,1,5.298317367
compensate,2,2,9.210340372
compete,1,1,5.298317367
competition,3,3,12.59911523
complain,1,6,3.506557897
complains,1,1,5.298317367
complaint,1,4,3.912023005
complaints,3,3,12.59911523
complete,2,7,6.704814435
component,1,1,5.298317367
components,1,1,5.298317367
compress,1,1,5.298317367
compromise,1,1,5.298317367
compromising,1,1,5.298317367
con,2,54,2.61866664
concern,2,5,7.377758908
concerned,3,3,12.59911523
concerns,1,1,5.298317367
conclusion,2,2,9.210340372
condition,2,3,8.399410156
conditions,1,1,5.298317367
confidence,1,1,5.298317367
confused,1,1,5.298317367
confusing,1,1,5.298317367
connected,1,1,5.298317367
connectivity,2,2,9.210340372
connector,1,1,5.298317367
connects,1,1,5.298317367
cons,22,24,46.6457978
conscious,1,1,5.298317367
consider,1,4,3.912023005
considering,3,3,12.59911523
consumed,1,1,5.298317367
consumes,1,1,5.298317367
contact,2,2,9.210340372
continua,1,1,5.298317367
continue,2,2,9.210340372
control,1,1,5.298317367
controversy,1,1,5.298317367
convenient,1,1,5.298317367
cool,2,2,9.210340372
core,1,1,5.298317367
corner,1,1,5.298317367
corning,1,2,4.605170186
correct,1,1,5.298317367
correspondence,1,1,5.298317367
cost,8,10,23.96585819
costly,1,1,5.298317367
costs,2,2,9.210340372
cot,1,1,5.298317367
couple,3,3,12.59911523
course,2,2,9.210340372
cover,19,19,44.72368936
coverage,2,2,9.210340372
covered,1,1,5.298317367
covering,1,1,5.298317367
covers,3,2,13.81551056
cox,2,3,8.399410156
cozy,1,2,4.605170186
CPU,1,1,5.298317367
cracked,1,1,5.298317367
cracks,2,2,9.210340372
crashed,1,1,5.298317367
crazy,2,2,9.210340372
created,4,3,16.79882031
creates,2,2,9.210340372
credit,2,1,10.59663473
crisp,2,3,8.399410156
crispy,1,1,5.298317367
crossed,2,2,9.210340372
crush,1,1,5.298317367
cud,1,1,5.298317367
curved,2,2,9.210340372
custom,1,20,2.302585093
customer,10,11,29.00422094
customers,4,3,16.79882031
customization,5,7,16.76203609
customizations,2,2,9.210340372
customizing,1,1,5.298317367
cut,2,2,9.210340372
cyanogen,2,2,9.210340372
cycle,1,1,5.298317367
d,4,199,0.020050167
dab,1,7,3.352407217
daily,1,1,5.298317367
damage,7,9,21.70764952
damaged,3,3,12.59911523
damn,1,1,5.298317367
dark,5,3,20.99852539
dash,53,47,76.75299754
DAT,1,1,5.298317367
data,6,5,22.13327672
date,7,23,15.13976205
dates,1,10,2.995732274
day,43,51,58.75914455
daylight,1,1,5.298317367
days,24,23,51.90775561
dead,2,3,8.399410156
deadly,1,1,5.298317367
deal,3,4,11.73606902
death,1,1,5.298317367
DEC,1,1,5.298317367
decent,9,9,27.9098351
decided,1,1,5.298317367
decision,5,5,18.44439727
defalcate,1,1,5.298317367
default,3,3,12.59911523
defect,1,2,4.605170186
defective,1,1,5.298317367
defend,1,1,5.298317367
definitive,1,1,5.298317367
degraded,1,1,5.298317367
degree,1,1,5.298317367
delaying,1,1,5.298317367
delete,4,3,16.79882031
deleted,1,1,5.298317367
Delhi,2,1,10.59663473
delicacy,1,1,5.298317367
delicate,4,4,15.64809202
deliver,3,21,6.761384786
delivered,9,8,28.96988242
delivery,19,14,50.5259407
dent,2,10,5.991464547
dents,1,2,4.605170186
department,2,1,10.59663473
depend,1,1,5.298317367
descent,1,1,5.298317367
description,2,2,9.210340372
design,8,9,24.80874231
designed,1,1,5.298317367
desk,1,1,5.298317367
detailed,2,2,9.210340372
details,1,1,5.298317367
deteriorate,1,1,5.298317367
deteriorating,1,1,5.298317367
developed,2,1,10.59663473
developer,1,2,4.605170186
developers,1,1,5.298317367
device,28,21,63.10625801
devices,2,2,9.210340372
DI,1,1,5.298317367
did,3,3,12.59911523
dies,1,1,5.298317367
difference,2,2,9.210340372
different,4,3,16.79882031
difficult,2,2,9.210340372
digit,1,1,5.298317367
dimensions,1,1,5.298317367
din,1,24,2.120263536
Dinah,3,1,15.8949521
dip,1,1,5.298317367
direct,2,3,8.399410156
dis,1,41,1.5847453
disabled,1,1,5.298317367
disadvantages,1,1,5.298317367
disappoint,1,15,2.590267165
disappointed,13,13,35.53378412
disappointing,1,1,5.298317367
discernible,1,1,5.298317367
discharge,2,2,9.210340372
discount,3,1,15.8949521
dislike,1,1,5.298317367
disorderedness,1,1,5.298317367
display,29,20,66.7749677
displays,1,1,5.298317367
distance,2,2,9.210340372
dithered,1,1,5.298317367
division,1,1,5.298317367
do,20,45,29.83309754
documented,1,1,5.298317367
does,4,4,15.64809202
don,1,21,2.253794929
done,4,4,15.64809202
doorstep,1,1,5.298317367
double,2,2,9.210340372
doubt,2,4,7.824046011
doubtful,1,1,5.298317367
doubts,1,1,5.298317367
download,2,6,7.013115795
downloaded,2,2,9.210340372
downloads,1,1,5.298317367
downside,2,2,9.210340372
downward,1,1,5.298317367
Dr,2,1,10.59663473
drain,4,15,10.36106866
drained,3,3,12.59911523
draining,1,1,5.298317367
drains,7,7,23.46685052
drawback,2,2,9.210340372
drawing,1,1,5.298317367
drift,1,1,5.298317367
drop,5,12,14.06705358
dropped,6,6,21.03934738
drops,3,3,12.59911523
druid,1,1,5.298317367
dual,7,7,23.46685052
due,9,8,28.96988242
durable,1,1,5.298317367
dust,1,1,5.298317367
dynamic,1,1,5.298317367
e,1,200,0
ear,6,57,7.531596592
earlier,4,5,14.75551782
earliest,2,2,9.210340372
earned,1,1,5.298317367
earphone,6,7,20.1144433
earphones,5,5,18.44439727
ease,3,22,6.62182474
easier,1,1,5.298317367
easy,4,4,15.64809202
Eco,1,1,5.298317367
Eda,1,1,5.298317367
edge,6,7,20.1144433
edges,2,2,9.210340372
effects,1,1,5.298317367
efficient,1,1,5.298317367
ejector,2,2,9.210340372
eke,1,1,5.298317367
el,1,129,0.438504962
electroencephalographic,1,1,5.298317367
electromagnetically,1,1,5.298317367
electronic,1,1,5.298317367
elegant,4,4,15.64809202
else,1,4,3.912023005
emailed,1,1,5.298317367
enabled,1,1,5.298317367
encountered,1,1,5.298317367
encrypt,1,2,4.605170186
encrypted,1,1,5.298317367
end,10,41,15.847453
enforce,1,1,5.298317367
engineers,1,1,5.298317367
English,1,1,5.298317367
enhanced,1,1,5.298317367
enjoy,2,2,9.210340372
ennui,1,1,5.298317367
enough,2,12,5.626821434
ensure,1,3,4.199705078
ensured,2,2,9.210340372
enter,1,20,2.302585093
entire,1,1,5.298317367
entry,1,1,5.298317367
epic,1,1,5.298317367
episode,1,1,5.298317367
Ericsson,1,1,5.298317367
error,1,1,5.298317367
escalate,1,1,5.298317367
esp,1,21,2.253794929
established,1,1,5.298317367
estimated,1,1,5.298317367
even,1,40,1.609437912
everyone,5,5,18.44439727
everything,13,12,36.57433932
examined,1,1,5.298317367
example,1,1,5.298317367
excellent,19,15,49.21507614
excels,1,1,5.298317367
excess,1,1,5.298317367
exchange,2,2,9.210340372
exclusion,1,1,5.298317367
exclusive,1,2,4.605170186
expand,1,4,3.912023005
expandable,3,3,12.59911523
